product_id,name,category,brand,price_thb,specs,description
UPS001,APC Smart-UPS 1500VA,UPS,APC,18000,"{""capacity_va"": 1500, ""capacity_w"": 1000, ""runtime_min_full_load"": 5, ""runtime_min_half_load"": 14, ""outlets"": 8, ""form_factor"": ""Tower""}",Line-interactive UPS for servers and network equipment protection.
UPS002,APC Smart-UPS 3000VA RM,UPS,APC,42000,"{""capacity_va"": 3000, ""capacity_w"": 2700, ""runtime_min_full_load"": 8, ""runtime_min_half_load"": 20, ""outlets"": 9, ""form_factor"": ""2U Rack""}",Rack-mount UPS for data center and server room power protection.
UPS003,Eaton 5PX 1500VA,UPS,Eaton,15000,"{""capacity_va"": 1500, ""capacity_w"": 1350, ""runtime_min_full_load"": 6, ""runtime_min_half_load"": 16, ""outlets"": 8, ""form_factor"": ""Tower/Rack""}",Flexible tower/rack UPS with high efficiency for small server rooms.
MON001,Dell P2422H Monitor,Monitor,Dell,8500,"{""size_inch"": 24, ""resolution"": ""1920x1080"", ""panel"": ""IPS"", ""refresh_hz"": 60, ""ports"": [""HDMI"", ""DisplayPort"", ""VGA""]}",Full HD IPS business monitor with ergonomic stand for daily office use.
MON002,Dell U2723D UltraSharp,Monitor,Dell,22000,"{""size_inch"": 27, ""resolution"": ""2560x1440"", ""panel"": ""IPS"", ""refresh_hz"": 60, ""ports"": [""HDMI"", ""DisplayPort"", ""USB-C""], ""usb_hub"": true}",QHD UltraSharp monitor with USB-C hub for professional productivity.
MON003,HP E24 G5 Monitor,Monitor,HP,7500,"{""size_inch"": 24, ""resolution"": ""1920x1080"", ""panel"": ""IPS"", ""refresh_hz"": 60, ""ports"": [""HDMI"", ""DisplayPort"", ""VGA""]}",Affordable FHD business monitor with thin bezels for dual-screen setups.
MON004,LG 34WN80C-B UltraWide,Monitor,LG,28000,"{""size_inch"": 34, ""resolution"": ""3440x1440"", ""panel"": ""IPS"", ""refresh_hz"": 60, ""ports"": [""HDMI"", ""DisplayPort"", ""USB-C""], ""aspect_ratio"": ""21:9""}",Ultrawide curved monitor for multitasking developers and designers.
PRT001,HP LaserJet Pro M404dn,Printer,HP,9500,"{""type"": ""Laser"", ""color"": false, ""ppm"": 38, ""duplex"": true, ""network"": true, ""monthly_duty_cycle"": 80000}",Fast monochrome laser printer for high-volume office printing.
PRT002,HP Color LaserJet Pro M454dw,Printer,HP,18500,"{""type"": ""Laser"", ""color"": true, ""ppm"": 28, ""duplex"": true, ""network"": true, ""wifi"": true, ""monthly_duty_cycle"": 50000}",Color laser printer with WiFi for professional document printing.
PRT003,Epson WorkForce Pro WF-C5790,Printer,Epson,14000,"{""type"": ""Inkjet"", ""color"": true, ""ppm"": 24, ""duplex"": true, ""network"": true, ""wifi"": true, ""monthly_duty_cycle"": 45000}",High-yield color inkjet printer with low cost-per-page for SMB.
WRK001,HP Z4 G5 Workstation,Workstation,HP,185000,"{""cpu"": ""Intel Xeon W3-2425"", ""ram_gb"": 64, ""storage_gb"": 2000, ""gpu"": ""NVIDIA RTX A2000 12GB"", ""os"": ""Windows 11 Pro for Workstations""}","Professional workstation for CAD, 3D rendering, and data science tasks."
WRK002,Dell Precision 3660 Tower,Workstation,Dell,145000,"{""cpu"": ""Intel Core i9-13900K"", ""ram_gb"": 64, ""storage_gb"": 2000, ""gpu"": ""NVIDIA RTX A4000 16GB"", ""os"": ""Windows 11 Pro for Workstations""}",High-performance tower workstation for AI development and ML training.
WRK003,Lenovo ThinkStation P360 Ultra,Workstation,Lenovo,128000,"{""cpu"": ""Intel Core i7-12700"", ""ram_gb"": 32, ""storage_gb"": 1000, ""gpu"": ""NVIDIA T1000 8GB"", ""form_factor"": ""Ultra Small"", ""os"": ""Windows 11 Pro for Workstations""}",Ultra-compact workstation for professionals needing a powerful but space-saving solution.
LIC001,Microsoft 365 Business Basic (1 Year),Software License,Microsoft,2100,"{""users"": 1, ""duration_months"": 12, ""includes"": [""Exchange"", ""Teams"", ""SharePoint"", ""OneDrive 1TB""]}",Cloud-based productivity suite per user per year for small businesses.
LIC002,Microsoft 365 Business Standard (1 Year),Software License,Microsoft,5250,"{""users"": 1, ""duration_months"": 12, ""includes"": [""Office Apps"", ""Exchange"", ""Teams"", ""SharePoint"", ""OneDrive 1TB""]}",Full Microsoft 365 suite including desktop Office apps per user per year.
LIC003,Windows 11 Pro OEM,Software License,Microsoft,5500,"{""type"": ""OEM"", ""version"": ""Windows 11 Pro"", ""users"": 1}",OEM Windows 11 Pro license for new PC builds or upgrades.
LIC004,Veeam Backup Essentials (5 VMs),Software License,Veeam,28000,"{""vms"": 5, ""duration_months"": 12, ""includes"": [""Backup"", ""Replication"", ""Recovery""]}",VM backup and recovery solution for small virtualized environments.
LIC005,Acronis Cyber Protect Cloud (1 Year),Software License,Acronis,8500,"{""users"": 1, ""storage_gb"": 1000, ""duration_months"": 12, ""includes"": [""Backup"", ""Antivirus"", ""EDR""]}",Integrated cyber protection combining backup and security for endpoints.
